1;R10102;"1010BAX260; 101A_002";Двигатель без вспомогательных агрегатов (восстановленный);1
2;11011K;"10101AX027,10101AX085, 10101-AX086,THF6629; 102A_002";Уплотнительная прокладка двигателя (ремкомплект);2
3;11042K;"11042AX027,11042AX085; 102A_002";Уплотнительная накладка клапана (ремкомплект);2
4;10102;"10102AX260; 101A_002";Двигатель без вспомогательных агрегатов (в сборе);1
5;10103;"10103AX260; 101A_002";Короткий блок двигателя (в сборе);1
6;11011C;115100551;Шпилькa;3
7;1110+A;11110AX010, 11110-AX010;Поддон картера;3
8;1121Z;KA76015000;Герметик;3
9;1128A;1102601M02, 005568H, CORTECO 005568H, RENAULT 11 02 601 M02;Шайба сливной пробки;3
10;1251N;30417AX000;Заглушка задней пластины двигателя;3
11;1045Q;13049AX000;Всасывающая трубка водяного насоса;3
12;1110;11111AX001;Поддон картера;3
13;1128;1112801M00,NISSAN 11128-01M0B, STELLOX 75-52508-SX, OHNO YH-0114;Сливная пробка;3
14;1140;11140AX001, 11140AX002, 11140-AX00A;Датчик уровня масла;3
15;1251;30411AX010;Задняя пластина двигателя;3
16;2279;122790M300, BGA OS0392, ROADRUNNER RR122794Z001, MUSASHI N2348;Задний сальник коленвала;3
17;2296;12297AX000;Задний фиксатор сальника;3
18;5146;11150AX001;Направляющая датчика уровня масла;3
19;11010A;110532U800;Установочный штифт блока цилиндров;4
20;1010AA;11053-01M00, LADA 7700872377;Установочный штифт блока цилиндров;4
21;1010C;30412H1001;Установочный штифт блока цилиндров;4
22;1010D;1104673402;Установочный штифт блока цилиндров;4
23;1010G;1102277A00;Установочный штифт блока цилиндров;4
24;1021A;1102472B00;Коническая заглушка;4
25;1023A;1102641B00;Уплотнительная накладка блока цилиндров;4
26;2293+A;12293AX001;Болт крышки коренного подшипника;4
27;5213P;1521321001;Шпилька масляного фильтра;4
28;1010;11000AX201;Блок цилиндров;4
29;2293;12293AX000;Болт крышки коренного подшипника;4
30;5146;11150AX001;Направляющая датчика уровня масла;4
31;5241;1524101M00, 15241-01M0A;Клапана регулировки давления масла;4
32;11056A;112105821;Болт;5
33;11056AA;112105821;Болт;5
34;13270+A;13270-AX000,JD JPE-0063, STONE JC-03169;Уплотнительная накладка клапанов двигателя;5
35;11044;11044-AX200,NISSAN 11044-AX20A, STONE JA-01310;Уплотнительная накладка головки цилиндра;5
36;13264;13264AX000;Крышка коромысла клапана;5
37;13270;13270-AX060, JD JPE-0063,KIBI ACB020077, ROADRUNNER RR1327041B02;Уплотнительная накладка клапанов двигателя;5
38;13276;1327653Y00, QML EE-1601, FEBEST NCP-007-PCS4, QUATTRO FRENI QF53A00018;Сальник крышки клапанов двигателя;5
39;13533;13533-AX000, AHB040020;Уплотнительная накладка масляной магистрали;5
40;15255;15255-1P110, QUATTRO FRENI QF14A00194;Крышка маслозаливной горловины;5
41;27010B;271998M601;Винт;6
42;27020Q;27137AX000;Клипса;6
43;27020QA;27153AX005;Клипса;6
44;27020QC;271533U800;Клипса;6
45;27020R;92565AX000;Заглушка;6
46;27020W;271735L300;Шайба;6
47;27020WA;271733S800;Шайба;6
48;27035M;28713AX000;Уплотнение;6
49;27035MA;28713AX015;Уплотнение;6
50;27035MB;28713AX010;Уплотнение;6
51;27081M;270810M001;Наклейка фильтра;6
52;27120+A;271203U010;Кожух отопителя;6
53;27120+B;27120AX010;Кожух отопителя;6
54;27123M;27123AX000;Кожух переднего отопителя;6
55;27125+A;27125AX000;Воздуховод обдува ног;6
56;27155P;27155AX000;Основной рычаг;6
57;27156U;271563U805;Рычаг створки климат-контроля;6
58;27159M;271563U805;Тяга рычага педали;6
59;27165U;27165AX000;Рычаг вентилятора;6
60;27168U;27168AX000;Рычаг заслонки воздуховода;6
61;27173W;27141WD000;Крепление тяги;6
62;27175M;27175AX000;Кронштейн переднего отопителя;6
63;27181U;27181AX000;Крышка воздуховода;6
64;27184N;27184AX000;Воздуховод климат-контроля;6
65;27185U;27185AX000;Заслонка воздуховода кондиционера, обдув ног;6
66;27188U;27188AX000;Вентиляционное отверстие обогревателя стекла;6
67;27245P;27886AX010;Передняя заслонка воздухозаборника отопителя;6
68;27245PA;27886AX015;Передняя заслонка воздухозаборника отопителя;6
69;27245PB;27245AX000;Передняя заслонка воздухозаборника отопителя;6
70;27250Q;27250AX000;Рычаг;6
71;27253N;27253AX005;Рычаг заслонки;6
72;27556M;27556AX000;Корпус контроллера;6
73;27556MA;27556AX010;Корпус контроллера;6
74;27726X;2772615U00;Вытяжной вентилятор;6
75;27733M;27731AX000;Привод переключателя режимов;6
76;27733N;27732AX000;Привод заслонки воздуховода;6
77;27755P;27288AX000;Губчатое уплотнение;6
78;27761Q;27761AX000, STELLOX 75-52151-SX;Модуль блока питания;6
79;27781P;27781AX000;Тяга;6
80;27781PA;27781AX005;Тяга;6
81;27781PB;27781AX010;Тяга;6
82;27781PC;27781AX015;Тяга;6
83;27781PD;277813U800;Тяга;6
84;27815M;27815AX000;Воздуховод обдува стекла;6
85;27891M;AY685NS007, AVANTECH CF0207, JD JDA-C204E;Воздушный фильтр;6
86;27080;27730AX000;Привод воздухозаборного короба;6
87;27115;271403U800, SAT STRN083950;Радиатор переднего отопителя;6
88;27120;SAT STRN083950;Кожух отопителя;6
89;27122;27122AX000;Кожух переднего отопителя;6
90;27125;27126AX000;Воздуховод обдува ног;6
91;27153;27153AX000;Рычаг воздушной смесительной заслонки;6
92;27210;272103U31A;Вентилятор кондиционера;6
93;27226;27226AX000;Мотор отопителя;6
94;27228;27228AX000;Шланг охлаждения электродвигателя;6
95;27280M;27280AX000;Передний испаритель кондиционера;7
96;27282M;27282AX000;Корпус клапана испарителя;7
97;27287NA;27287AX020;Уплотнитель испарителя;7
98;27287NB;27287AX02127287NC:Уплотнитель испарителя(27287AX022;Уплотнитель испарителя;7
99;27610B;274621U60A;Гайка;7
100;27644N;92477AX000;Уплотнительное кольцо;7
101;27644NA;92477AX005;Уплотнительное кольцо;7
102;27675Q;27675AX000;Усилитель отопителя;7
103;27723N;в сборе)(27723AX000;Термисторный датчик;7
104;27229;27229AX000;Болт;7
105;27619;92590AX000;Сливной шланг;7
106;27624;27281AX000;Расширительный клапан;7
107;27045G;969384U011, 96938-3H000;Клипса;8
108;27054M;2772015U00, QUATTRO FRENI QF40Q00063;Датчик температуры воздуха в салоне;8
109;27561+A;27568AX001;Кнопка кондиционера;8
110;27561R;27566AX001;Кнопка обогревателя заднего стекла;8
111;27561T;275A13U200;Кнопка вентилятора;8
112;27561U;27567AX010;Кнопка рециркуляции воздуха;8
113;27561UA;27567AZ315;Кнопка рециркуляции воздуха;8
114;27561V;275613U200;Кнопка кондиционера;8
115;27561W;275A43U200;Кнопка выбора режима;8
116;27570M;275703U201;Накладка панели управления кондиционером;8
117;27572+A;275723U005;Накладка на панель;8
118;27572+B;275723U010;Накладка на панель;8
119;27621E;277273U200;Патрубок датчика температуры воздуха;8
120;27130;275003U200;Панель управления кондиционером;8
121;27561;275A33U200;Кнопка кондиционера;8
122;27572;275723U000;Накладка на панель;8
123;27705;277215L300, 27721-3RA0A;Датчик солнечного излучения;8
124;27165J;0145100581, RENAULT 01 45 100 581;Винт;9
125;27171X;278303U000;Воздуховод отопителя;9
126;27810M;278303U000;Сопло обдува бокового стекла;9
127;27871M;278713U000;Воздуховод вентилятора, передний боковой;9
128;66860N;155300541;Крепежная деталь;9
129;66860NA;155300541;Крепежная деталь;9
130;27172;278323U000;Напольный воздуховод кондиционера, задний правый;9
131;27173;278333U000;Напольный воздуховод кондиционера, задний левый;9
132;27670;278603U000;Центральный воздуховод вентилятора;9
133;27811;278113U000;Сопло обдува бокового стекла;9
134;27870;278703U800;Боковой воздуховод вентилятора;9
142;1220M;"11220AX000, 4U NS-EM-00051;";Подушка двигателя, передняя левая (в сборе);11
143;11231M;"11231AX000;";Кронштейн опоры двигателя;11
144;11246M;"11246AX000;";Амортизирующий грузик (в сборе);11
145;11253N;"11253AX010;";Левый кронштейн опоры двигателя;11
146;11332M;"11332AX010;";Задний кронштейн опоры двигателя;11
147;11510A;"112982J202;";Болт;11
148;11510AA;"11298AD203;";Болт;11
149;11510AB;"11298AX009;";Болт;11
150;11510AC;"11298AX004;";Болт;11
151;11510AD;"112984M408;";Болт;11
152;11510AE;"112982J001;";Болт;11
153;11510AF;"112985J000;";Болт;11
154;11510AG;"11298AX001;";Болт;11
155;11520A;"11298AX005;";Болт;11
156;11520AA;"112986M001;";Болт;11
157;11520AB;"0112503171;";Болт;11
158;11520AC;"0112503291;";Болт;11
159;11520AD;"11298AX000;";Болт;11
160;11520AE;"11298AX000;";Болт;11
161;11520AF;"11298AX006;";Болт;11
162;11520AG;"0112502871;";Болт;11
163;11520AH;"112983J200;";Болт;11
164;11520B;"11258AX000;";Гайка;11
165;11220;"11210AX001, STELLOX 25-17797-SX;";Передняя подушка двигателя;11
166;11232;"11232AX000;";Правый кронштейн опоры двигателя;11
